dim,seed,model,nleaps,sampler,ess,ess_exact,n_leapfrog,msjd,margin1_mean,margin1_var,KS,ks_pval,mala
3.0,15,funnel_scale,1,AH_fix,1630.4449500721394,3968.520944835794,8.2987292e7,890070.6964282551,0.38406018337036113,3.4629696594295614,207.93986689925543,0.0,false
0.6,20,funnel_scale,1,NUTS,1835.268872979246,2111.6320732074387,19353572,154.59814822097943,1.1661812363593458,5.387062192437679,197.59497730767157,0.0,false
2.0,9,funnel_scale,1,AM,1786.9970096117142,3066.050185381566,4.5835064e7,129084.16738566547,0.23919668462575844,5.145756383122436,127.72775980829189,0.0,false
4.0,13,funnel_scale,1,AM,1758.967486758423,5872.595408196434,4.0235061e7,963590.1474079731,0.6845781298445331,1.891467091446873,300.5835373092017,0.0,false
3.4,10,funnel_scale,1,AH_exp,1782.0602992118736,4398.735479786387,8.4666192e7,3.8259394224592918e6,0.7441729783992644,2.683354233267403,249.52316245604845,0.0,false
1.8,9,funnel_scale,1,AH_exp,2473.7080253093113,3576.42108615737,6.2465556e7,132270.10770628505,0.6710342186457883,5.138330183250981,137.48514157733615,0.0,false
1.2,18,funnel_scale,1,AH_unif,3062.13671001318,3850.778115482094,5.7843986e7,2466.469513834802,0.35276630104831586,6.785035207759999,62.51496276491028,0.0,false
4.0,18,funnel_scale,1,AH_unif,1516.954374618931,3612.575134365599,6.760876e7,1.1413613627896082e8,0.8625244140825155,2.6781739976617587,279.42266489695726,0.0,false
2.4,17,funnel_scale,1,NUTS,1278.7950981237723,37.49418572488432,28319844,1.9688566776541292e36,15.678363786411285,0.28327366565855777,1023.9997670672967,0.0,false
2.4,10,funnel_scale,1,NUTS,1657.1999791745977,44.32813474999704,27359654,1.143320883730927e33,14.4183379445076,0.3534811359972012,1023.9967062873828,0.0,false
1.4,11,funnel_scale,1,NUTS,4148.756030967129,128.17210225471072,133949608,7.361944147034208e12,8.472197224798203,0.7910063686698087,1016.7890497591881,0.0,false
0.4,1,funnel_scale,1,AM,11716.450971035449,11506.402404529554,2.1208083e7,3.97307240747516,-0.011165340917551031,9.162869126126925,3.356655983712969,3.269768948652188e-10,false
4.0,9,funnel_scale,1,AH_fix,1697.2810111717895,6384.173663906002,7.5064312e7,811713.721381164,0.44371207807474955,2.0667096352194787,260.55797105991326,0.0,false
1.6,9,funnel_scale,1,AH_unif,2978.632070410979,3833.795496704052,7.1302908e7,2.3024874429488173e6,0.6835918365601823,5.63450464557478,123.62641615465455,0.0,false
2.2,18,funnel_scale,1,AM,2120.2040585116015,3492.4432253768823,4.1822605e7,601681.8581661752,0.7433528943633051,4.320754197751004,188.101499483508,0.0,false
2.6,3,funnel_scale,1,AH_unif,1780.2942263378393,3690.5142828609182,6.9281602e7,2.649820831426415e6,0.42797480910501995,4.023445902449879,186.00448100230142,0.0,false
3.4,8,funnel_scale,1,AH_exp,1290.9631900807344,1489.1255695321736,7.3806858e7,5.622299582332891e8,1.4753972671227158,5.060719755561852,235.50823172737768,0.0,false
0.4,19,funnel_scale,1,AM,12716.024413114374,12975.075270087105,2.1539759e7,4.087397731274005,0.012234731829353484,8.818455613775313,3.6970731731387616,2.6844294268276917e-12,false
1.6,14,funnel_scale,1,AH_unif,2159.356730364876,3006.2754225311132,6.399358e7,52989.39573885853,0.2976247779215231,6.27793133169821,77.83314697336542,0.0,false
2.4,20,funnel_scale,1,AM,1639.6454184444087,3702.3154915180276,4.0912599e7,14171.343457863106,0.2070115113596498,3.9172828285165395,155.1967094232195,0.0,false
3.6,3,funnel_scale,1,AH_exp,1675.3365399631894,4943.06245637054,7.185063e7,370763.90049671195,0.6710241096735269,2.3143832790292636,257.34109984204025,0.0,false
3.4,4,funnel_scale,1,AH_fix,1442.635353929537,2407.025911534458,7.1963504e7,4.077141869202294e7,1.0406370440236326,3.869926014216517,244.18755129660505,0.0,false
1.4,10,funnel_scale,1,AM,2425.202385239594,3256.686294101302,4.0749969e7,10657.677527348987,0.42668933131561415,6.271385233203815,82.79253496937244,0.0,false
2.6,12,funnel_scale,1,AM,1909.3597632563792,2999.840625645264,4.4836689e7,5.059103836766913e6,0.9435408746342897,4.069993433455231,212.8038100107514,0.0,false
3.6,9,funnel_scale,1,AM,1728.3592335262892,5738.097221560227,3.9107079e7,46898.94279838388,0.6296888529159212,2.042279043011752,280.2327073626565,0.0,false
1.4,7,funnel_scale,1,AM,2121.703182696636,2871.634881542334,3.8455936e7,3969.693731458818,0.23123883881999874,6.538953880148046,65.8872778042444,0.0,false
2.2,3,funnel_scale,1,AH_fix,1803.5041254668704,2620.159088537103,8.3747496e7,9.842838589729806e6,0.577916742403036,5.607217228962233,148.4785011063202,0.0,false
0.2,20,funnel_scale,1,AH_unif,161667.69269175027,161091.76578419423,1.984504e7,8.524946019809782,-0.01240325517225303,9.007937853382893,2.698587724291201,9.454505686777573e-7,false
2.2,9,funnel_scale,1,AH_unif,2035.0544967876021,3519.505407087202,6.476502e7,560888.1802742394,0.5681634932874332,4.563086121452412,146.7258443724184,0.0,false
0.8,15,funnel_scale,1,NUTS,1881.2985428960026,825.9313859888158,40664839,17880.576340722208,3.1115854690494538,2.72971212984142,605.9730083282275,0.0,false
2.8,11,funnel_scale,1,AH_exp,1505.3642896698252,2583.120609226165,6.8283638e7,5.30706657760304e6,0.7004665963043142,4.5243250286649355,178.03812642591518,0.0,false
0.6,7,funnel_scale,1,NUTS,1712.6667669225087,2045.5910381331926,18658361,144.40144206128122,0.7947677251219131,6.479805747529487,128.45519423020994,0.0,false
4.0,16,funnel_scale,1,AH_exp,1564.9879554290517,4475.272493685005,6.7938754e7,8.286707755190612e7,0.6707079540262373,2.4604314832323992,261.67947852061343,0.0,false
